"NU_CUSTOMER";"BANDEIRA";"RELATORIO"
1049661432;"1049661432-SORO";"DOMICILIO BANCARIO"
1050002099;"1050002099-DINE";"DOMICILIO BANCARIO"
1050018300;"1050018300-DINE";"DOMICILIO BANCARIO"
1050032800;"1050032800-BANE";"DOMICILIO BANCARIO"
1050032800;"1050032800-CABA";"DOMICILIO BANCARIO"
1050032800;"1050032800-CRED";"DOMICILIO BANCARIO"
1050032800;"1050032800-SORO";"DOMICILIO BANCARIO"
1050117830;"1050117830-DINE";"DOMICILIO BANCARIO"
1050319530;"1050319530-DINE";"DOMICILIO BANCARIO"
1050377386;"1050377386-DINE";"DOMICILIO BANCARIO"
1050380565;"1050380565-CABA";"DOMICILIO BANCARIO"
1050441475;"1050441475-BANE";"DOMICILIO BANCARIO"
1050441475;"1050441475-CABA";"DOMICILIO BANCARIO"
1050441475;"1050441475-CRED";"DOMICILIO BANCARIO"
1050441475;"1050441475-DINE";"DOMICILIO BANCARIO"
1050441475;"1050441475-SORO";"DOMICILIO BANCARIO"
1050782361;"1050782361-BANE";"DOMICILIO BANCARIO"
1050782361;"1050782361-CABA";"DOMICILIO BANCARIO"
1050782361;"1050782361-CRED";"DOMICILIO BANCARIO"
1050782361;"1050782361-SORO";"DOMICILIO BANCARIO"
1051044348;"1051044348-BANE";"DOMICILIO BANCARIO"
1051044348;"1051044348-CABA";"DOMICILIO BANCARIO"
1051044348;"1051044348-CRED";"DOMICILIO BANCARIO"
1051044348;"1051044348-DINE";"DOMICILIO BANCARIO"
1051044348;"1051044348-SORO";"DOMICILIO BANCARIO"
1051187998;"1051187998-DINE";"DOMICILIO BANCARIO"
1051211465;"1051211465-CABA";"DOMICILIO BANCARIO"
1051262566;"1051262566-CABA";"DOMICILIO BANCARIO"
1051423748;"1051423748-CRED";"DOMICILIO BANCARIO"
1051527993;"1051527993-DINE";"DOMICILIO BANCARIO"
1051563710;"1051563710-BANE";"DOMICILIO BANCARIO"
1051563710;"1051563710-CABA";"DOMICILIO BANCARIO"
1051563710;"1051563710-CRED";"DOMICILIO BANCARIO"
1051563710;"1051563710-DINE";"DOMICILIO BANCARIO"
1051563710;"1051563710-SORO";"DOMICILIO BANCARIO"
1051600186;"1051600186-DINE";"DOMICILIO BANCARIO"
1051677847;"1051677847-DINE";"DOMICILIO BANCARIO"
1051819447;"1051819447-CABA";"DOMICILIO BANCARIO"
1052132585;"1052132585-BANE";"DOMICILIO BANCARIO"
1052132585;"1052132585-CABA";"DOMICILIO BANCARIO"
1052132585;"1052132585-CRED";"DOMICILIO BANCARIO"
1052132585;"1052132585-DINE";"DOMICILIO BANCARIO"
1052132585;"1052132585-MAST";"DOMICILIO BANCARIO"
1052132585;"1052132585-SORO";"DOMICILIO BANCARIO"
1052132585;"1052132585-VISA";"DOMICILIO BANCARIO"
1052142637;"1052142637-BANE";"DOMICILIO BANCARIO"
1052142637;"1052142637-CABA";"DOMICILIO BANCARIO"
1052142637;"1052142637-CRED";"DOMICILIO BANCARIO"
1052142637;"1052142637-SORO";"DOMICILIO BANCARIO"
1052145903;"1052145903-CABA";"DOMICILIO BANCARIO"
1052176450;"1052176450-DINE";"DOMICILIO BANCARIO"
1052357579;"1052357579-DINE";"DOMICILIO BANCARIO"
1052433429;"1052433429-DINE";"DOMICILIO BANCARIO"
1052482845;"1052482845-DINE";"DOMICILIO BANCARIO"
1052504040;"1052504040-CRED";"DOMICILIO BANCARIO"
1052504040;"1052504040-DINE";"DOMICILIO BANCARIO"
1052504040;"1052504040-SORO";"DOMICILIO BANCARIO"
1052537739;"1052537739-DINE";"DOMICILIO BANCARIO"
1052632677;"1052632677-BANE";"DOMICILIO BANCARIO"
1052632677;"1052632677-CABA";"DOMICILIO BANCARIO"
1052632677;"1052632677-CRED";"DOMICILIO BANCARIO"
