#EC;SERVICO;CAMPO;VALOR_STAR;VALOR_SEC;EC_MATRIZ;DATA_CONTROLE
"1028505318";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028505318";"29092017"
"1028537988";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028537988";"29092017"
"1028551956";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028551956";"29092017"
"1028595830";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028595830";"29092017"
"1028605029";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028605029";"29092017"
"1028614273";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028614273";"29092017"
"1028630457";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028630457";"29092017"
"1028712909";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028712909";"29092017"
"1028720219";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028720219";"29092017"
"1028943200";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028943200";"29092017"
"1029182423";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1029182423";"29092017"
"1029241675";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1029241675";"29092017"
"1029597283";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1029597283";"29092017"
"1029598700";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1029598700";"29092017"
"1029953829";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1029953829";"29092017"
"1029997478";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1029997478";"29092017"
"1030031433";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1030031433";"29092017"
"1030308818";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1030308818";"29092017"
"1030481978";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1030481978";"29092017"
"1030534125";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1030534125";"29092017"
"1030557010";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1030557010";"29092017"
"1030564725";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1030564725";"29092017"
"1030576642";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1030576642";"29092017"
"1030597569";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1030597569";"29092017"
"1030674156";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1030674156";"29092017"
